participant	id	character_country	character_gendergroup	character_bio	character_quote	character_motive	character_motive_description	suitable	any_suitable	age	education	played_specific	played_franchise	played_fighting	played_any	play_frequency	watched_franchise	watched_fighting	lang_primary	lang_secondary	lang_tertiary	lang_extra	gender_description	normalized_gender	ethnicity_description	normalized_ethnicity	nationality_description	normalized_nationality	feedback	attire_ethnicity	attire_not_sexualized	attire_sexualized	attractive	chubby	costume	ethnic_stereotypes	exaggerated_body	gender_stereotypes	muscular	non_muscular	not_role_model	not_sexualized	obv_ethnicity	old	pos_ethnic_rep	pos_gender_rep	realistic_body	realistic_clothing	role_model	sexualized	skinny	ugly	young	similarity	ethnic_match	ethnic_familiarity
173	bob	United States of America	men	Once a fighter who had won the hearts of fans with his excellent sensibility and handsome good looks, he decided to transform himself completely by gaining weight to eliminate the perceived disadvantage he had in a fight due to his body type. His fans were disappointed, as on the outside it looked like he'd merely put on a few too many pounds, but Bob was definitely pleased with himself.	Speed and weight!	Dominance	He entered the sixth tournament to silence his doubters.	yes	yes	25-34	associate	no	both	yes	yes	daily	occasionally	occasionally	English				Male	Male	White	White	Usa	US American		2	7	1	1	7	1	6	1	5	1	7	2	7	5	1	2	3	6	6	3	1	1	7	1	2	6	7
173	laura	Brazil	women	Laura is a brand-new Street Fighter character and a practitioner of Matsuda jiu-jitsu. If you recognize the name Matsuda, it's because Laura is the elder sister of Sean from Street Fighter III.	Boom! That's how to start a fight and finish it quickly!	Dominance	She has a desire to promote her family's fighting style.	yes	yes	25-34	associate	no	both	yes	yes	daily	occasionally	occasionally	English				Male	Male	White	White	Usa	US American		3	1	7	7	1	3	2	5	4	7	1	3	1	5	1	5	4	4	4	5	7	7	1	7	4	2	5
173	shaheen	Saudi Arabia	men	Shaheen works for a private military firm specializing in the provision of security services. During his time in the army, he earned a reputation as an expert in one-on-one combat. One day, his friend and owner of a company involved in the oil industry died suddenly under mysterious circumstances. In the postmortem the death was listed as accidental, but Shaheen suspected foul play when his friend's company was suddenly bought by G Corporation and the management, all family members, resigned. He began to investigate the matter, and a relative of a close friend confided in him that a demonic man was pulling the strings at G Corp: Kazuya Mishima. Shaheen struggled to believe a real demon could exist, but his investigations revealed that Kazuya could be worse than any of hell's creations. Shaheen was torn: Should he take revenge for his friend's death by destroying that demon, or not? Wracked with doubt, he embarked on a solo mission to infiltrate G Corp.	I do not wish to hurt you, but I will fight if I must.	For Duty	He is a bodyguard for a Private Military Company, who is tasked in protecting key figures in the world.	yes	yes	25-34	associate	no	both	yes	yes	daily	occasionally	occasionally	English				Male	Male	White	White	Usa	US American		7	7	2	4	1	3	3	2	2	3	5	4	4	6	3	4	4	5	5	4	3	6	2	2	4	2	6
202	dragunov	Russia	men	Sergei Dragunov entered the King of Iron Fist Tournament on army orders. At the designated arena of his first match, a woman appeared before him. There was something strangely familiar about her… It didn't take Dragunov long to figure out who she was, and he wasted no time in readying himself for combat.	…	For Duty	He is a Russian Spetsnaz soldier.	yes	yes	35-44	high	no	both	yes	yes	daily	occasionally	occasionally	English				Male	Male	White	White	Us	US American		2	6	2	3	1	2	6	2	4	2	6	4	6	4	4	2	4	6	4	4	2	5	5	2	2	2	2
202	feng	China	men	Feng Wei had always abided by what was written on the God Fist scroll: 'Defeat all other masters and conquer their styles; the perfect warrior transcends all to become the Dragon God.' Having fought masters of many different styles, Feng returned to his childhood training ground to continue his intense training regime. Then one day, an unexpected visitor appeared before Feng: a mysterious man who exuded strength. When the man made it clear that his desire was to fight, Feng had no reason to refuse. He accepted his opponent's challenge in silence, and prepared to battle.	Come on!	Dominance	He seeks the secrets of the God Fist scrolls that were stolen by the Mishima family.	yes	yes	35-44	high	no	both	yes	yes	daily	occasionally	occasionally	English				Male	Male	White	White	Us	US American		6	1	7	7	1	4	5	6	4	7	1	4	1	5	1	4	4	3	2	4	7	4	1	6	1	1	2
202	lee	Japan	men	The adopted son of Heihachi Mishima, raised to be a rival for Kazuya Mishima. After abandoning the Zaibatsu for various reasons, he ended up idling his time away in the Bahamas as manager of his own company… until a certain event disturbed his permanent vacation and entwined his fate with the Zaibatsu once again.	Leave it to me. I won't disappoint.	For a Male	He is embroiled in a one-sided rivalry with his adoptive brother, Kazuya Mishima.	yes	yes	35-44	high	no	both	yes	yes	daily	occasionally	occasionally	English				Male	Male	White	White	Us	US American		1	5	3	6	1	1	4	1	4	1	6	4	5	1	2	4	4	7	7	4	3	7	1	5	4	2	1
202	karin	Japan	women	As a top contender for the wealthiest fighter in the Street Fighter universe, Karin Kanzuki is understandably snobbish. She also counts the likes of Sakura, Ken and R. Mika among her rivals.	I'll show you the divide in our class!	For a Male	Her father is a rather strict man as he constantly pushes his daughter into becoming a better heir to the Kanzuki family fortune, as he wanted a son.	yes	yes	35-44	high	no	both	yes	yes	daily	occasionally	occasionally	English				Male	Male	White	White	Us	US American		1	5	1	5	1	5	4	1	3	1	7	5	4	1	1	3	2	6	2	2	3	7	1	5	2	6	6
202	ed	Unknown	men	Last seen in Balrog's ending in Super Street Fighter IV, Ed is a fleet-footed boxer who is infused with psycho power. His body ages faster than normal due to the modifications he received at the hands of S.I.N.	Well ain't you a high def picture of strength. I'm shakin' here.	For Duty	He is the protégé of Balrog, a potential substitute body for M. Bison.	yes	yes	35-44	high	no	both	yes	yes	daily	occasionally	occasionally	English				Male	Male	White	White	Us	US American		1	6	1	4	1	3	4	7	4	7	1	5	4	5	1	3	2	1	5	2	4	5	1	6	2	5	5
152	dragunov	Russia	men	Sergei Dragunov entered the King of Iron Fist Tournament on army orders. At the designated arena of his first match, a woman appeared before him. There was something strangely familiar about her… It didn't take Dragunov long to figure out who she was, and he wasted no time in readying himself for combat.	…	For Duty	He is a Russian Spetsnaz soldier.	yes	yes	18-24	bachelors	both	both	yes	yes	daily	occasionally	occasionally	English	Tamil	Hindi		Male	Male	South Asian	Southeast Asian	Indian	Indian	Questions were really easy and I enjoyed it very much.	6	6	2	3	1	6	5	2	6	4	6	6	2	7	5	3	2	6	3	2	6	5	6	3	2	1	5
152	feng	China	men	Feng Wei had always abided by what was written on the God Fist scroll: 'Defeat all other masters and conquer their styles; the perfect warrior transcends all to become the Dragon God.' Having fought masters of many different styles, Feng returned to his childhood training ground to continue his intense training regime. Then one day, an unexpected visitor appeared before Feng: a mysterious man who exuded strength. When the man made it clear that his desire was to fight, Feng had no reason to refuse. He accepted his opponent's challenge in silence, and prepared to battle.	Come on!	Dominance	He seeks the secrets of the God Fist scrolls that were stolen by the Mishima family.	yes	yes	18-24	bachelors	both	both	yes	yes	daily	occasionally	occasionally	English	Tamil	Hindi		Male	Male	South Asian	Southeast Asian	Indian	Indian	Questions were really easy and I enjoyed it very much.	6	1	7	7	1	6	6	5	7	7	1	7	2	4	2	3	2	3	2	2	6	5	1	5	1	2	6
